"","Leverage","SPE"
"472.060619609411",0.000255744093325456,3.82720798548632e-30
"368.227829429225",0.00024560858389424,4.01209726014749e-30
"389.185484040929",0.000242586997199532,4.02134172388055e-30
"195.068632218853",0.000223540075181558,3.05067303190938e-30
"315.140068349254",0.000222419932369336,4.11725303511103e-30
"371.015527619046",0.000220210915293922,3.99216388522308e-30
"297.239922910264",0.000217440058233864,3.83067465938621e-30
"315.141715740518",0.000216639470940446,4.03058618761361e-30
"258.056545157421",0.000216535091332651,3.42507381309826e-30
"487.958230408171",0.000214816540255342,3.9982305645479e-30
"592.672688557326",0.000212985413458276,3.74400781188879e-30
"218.927590567648",0.000212067546625106,3.51289621856232e-30
"313.243855869864",0.000210835793612023,4.06294181067931e-30
"181.89533700082",0.000209059283326883,3.74863004375532e-30
"119.045086345754",0.000208926717534886,3.29102908896891e-30
"314.062766099122",0.000208107022092163,3.7624967393549e-30
"486.278923847113",0.000207730997247273,3.97974163708178e-30
"219.972177010042",0.0002065014234956,3.99360833268137e-30
"178.061523182074",0.000206445947927389,4.14498642631021e-30
"167.947642724582",0.000201466608437438,3.71396330475635e-30
"389.248030698199",0.000201061880787032,4.00631947031433e-30
"125.032083529503",0.00019932076258478,3.66080763829126e-30
"347.997111999171",0.000198143004691495,4.11840859307767e-30
"226.990945569961",0.000197949013030478,3.45280720429744e-30
"365.276731865042",0.000197174444000789,3.62845201522555e-30
"195.06743505543",0.000197049168267215,3.6088075297928e-30
"95.0188392996338",0.000196756561187481,3.65849652235799e-30
"247.135389027068",0.000196641277893004,4.13689752054378e-30
"149.56049088237",0.000196374579765612,3.55334074739445e-30
"439.184444044125",0.000194825352899385,2.98596178577797e-30
"401.117788090158",0.000194733968716986,3.35574033510032e-30
"104.554934059881",0.000194326422091166,4.0340528615135e-30
"529.291867157623",0.00019320793209389,3.18587331400537e-30
"376.3060145402",0.000193102305967492,3.99129721674811e-30
"531.306708643849",0.000192821430401244,3.85378581871886e-30
"496.9095442046",0.000192460185117441,4.12303082494419e-30
"548.275335607388",0.000192347151758202,3.80294126818704e-30
"199.022484357275",0.000191791547206059,4.14498642631021e-30
"102.033736089757",0.000191623699203053,3.33147361780104e-30
"423.199067055334",0.000191101648485867,3.48862950126304e-30
"316.955678099395",0.000190689755300535,3.07493974920866e-30
"497.7057434469",0.000190309548383887,3.70240772509002e-30
"197.001152147285",0.000189421617087155,3.86880807228508e-30
"221.15195839523",0.00018921917524791,3.84569691295243e-30
"392.692094269494",0.000188759674910413,2.90276161218044e-30
"489.242456804161",0.000187978961436324,4.11840859307767e-30
"246.997935426246",0.000187191394023979,3.59609639215985e-30
"203.14803096675",0.000186799116833293,3.28640685710238e-30
"374.945734365903",0.000186138425621563,3.60534085589291e-30
"516.746006259062",0.000186066673608708,3.71165218882308e-30
"321.104645805065",0.00018530991111331,3.59031860232669e-30
"397.156712287649",0.000184992998801801,3.85956360855202e-30
"201.005365109411",0.000184574900406341,3.86880807228508e-30
"86.64526",0.000183916216679257,3.75556339155511e-30
"486.282044520874",0.000183796118132192,4.01209726014749e-30
"198.05352009079",0.000183532219158407,3.81449684785336e-30
"214.047901352262",0.000183296562668986,3.46089611006386e-30
"324.800586794087",0.000183074168410172,3.00445071324409e-30
"130.055521249583",0.000182696086090829,4.06294181067931e-30
"111.039019848741",0.000182596964684663,3.91849706485027e-30
"147.055601275282",0.000182580440458602,4.08374185407869e-30
"344.871754579802",0.000182539321754806,3.87343030415161e-30
"496.426847065798",0.00018245585479247,3.77174120308796e-30
"207.026077006296",0.000182381568867929,3.05529526377591e-30
"402.963432864363",0.000182059564721672,3.14658434313987e-30
"546.426494179475",0.000181500356771842,4.15076421614337e-30
"235.034112043424",0.000181303465402865,3.91040815908384e-30
"318.220252170859",0.000181060729584403,3.96805628283913e-30
