"","Leverage","SPE"
"313.07468",4.22011742232834e-07,36.4104795567557
"309.062611365393",1.75591630821569e-05,25.9046732287832
"172.040312484814",1.67233811887663e-05,24.506559452533
"122.081068421628",6.45351628068436e-06,24.013573398296
"274.001388595675",1.43157060347776e-05,23.688823381495
"182.078796567827",2.74648924319991e-06,23.163310037315
"442.300170654026",9.30569051622478e-08,22.4641206436012
"368.156221588715",2.27945951073596e-06,21.5549893078456
"441.355391463356",4.6304544925426e-06,21.3651083429504
"409.057448424381",0.000191715666625638,21.0686109913919
"211.116458756314",1.84128312225972e-05,21.0443904019419
"301.161113590891",1.18494072490888e-06,20.5393954379805
"340.960769178564",8.56296764693973e-07,20.523157009318
"141.049785504326",1.14173316556786e-07,20.2786870643152
"258.007247177876",1.66456360390702e-06,20.2712612903691
"168.042080186939",3.44683291153412e-05,19.8923019121494
"485.381583770661",1.02678264495966e-05,19.7172629317108
"202.02638664484",1.09572705074367e-06,19.5712377229335
"490.732697169226",5.54987400928165e-06,19.4506302562068
"267.130346012639",3.10070867129016e-06,19.4446462175226
"441.353322344902",6.42759233987495e-06,19.1897924417574
"457.270489253807",7.18802848835997e-06,19.1516492783031
"122.057534573875",3.52468672659588e-05,19.0267420537192
"177.06722597705",2.24366096077051e-09,18.8702161537259
"405.006618766797",1.09693462140052e-05,18.6915663809212
"242.099677742452",7.97556999382286e-05,18.4579231573252
"457.272746389806",1.18150556679948e-05,18.2416831323551
"86.891720295504",3.97915143433944e-07,18.1248922450959
"70.9915393877755",1.68831999527083e-06,17.7391784013836
"218.103434567287",0.000122657004941679,17.7274704830106
"485.379293123096",2.7979722161006e-05,17.5159368271536
"409.055568411837",0.000190998813180071,17.3878666156198
"168.063036709716",2.83230446241357e-05,17.3575205976051
"180.062699550649",1.63055754270151e-05,17.2974428187126
"524.686769790723",5.24474916926309e-08,17.2930084177193
"541.120442330945",9.1847573197389e-06,17.2594988988077
"476.876026919969",3.38087538818078e-05,17.2564233481384
"291.09202",3.0253859384665e-06,17.2096571598219
"156.043707849066",2.21747453901269e-05,17.1201603042893
"123.060827264491",1.80668204314302e-05,17.0418641129146
"153.071587962384",3.67229583583451e-05,16.9718488161183
"144.063049935381",1.58922472422593e-05,16.9694835622597
"374.838337892112",5.05190426418549e-06,16.8738797478743
"588.846696637649",1.03270647802355e-07,16.7737106448597
"116.907048661158",2.49570974445667e-05,16.5724369626903
"249.106750051042",5.47426602293359e-05,16.493396256112
"527.138715256227",6.10761932118755e-06,16.4797583147057
"254.018965161565",3.42357493917434e-05,16.4368601598995
"229.156336316013",8.954014361127e-06,16.3843071217373
"520.282866328966",1.68952958811823e-05,16.3407601156446
"230.159338217448",1.02244707512238e-06,16.3303826015476
"440.769335503469",5.59132857596716e-06,16.2829021030654
"186.052503594044",2.79261974232926e-05,16.1911286492201
"464.850250756486",1.0195168106522e-05,16.0869556158343
"123.061021518438",1.32308926624682e-05,16.0833068663438
"501.282867632184",4.72897491929391e-08,15.9672589020657
"199.090718732853",1.02561396284243e-06,15.8659613403363
"138.031464603756",1.31370269815173e-05,15.8655678533885
"342.958024285949",1.79888497478093e-06,15.7683038018581
"476.122496680029",1.82731917421806e-05,15.6700318268384
"281.143767696632",5.08617022421488e-05,15.663480528673
"152.068111988492",8.20447693519468e-05,15.637832501981
"289.086885505176",0.000117862984108065,15.6277799187914
"118.904042952776",2.3302038768656e-05,15.565304201796
"86.9474959902519",1.83588591620374e-06,15.5575288467574
"515.920923580247",1.26475794817977e-05,15.54412219583
"131.034928883693",1.37900014592146e-05,15.4954993960441
